"dataset","sim","method","misclass","auc"
"Threenorm",1,"RF",0.126060606060606,0.947151331496786
"Threenorm",2,"RF",0.123030303030303,0.947420202020202
"Threenorm",3,"RF",0.124242424242424,0.946513682277319
"Threenorm",4,"RF",0.123939393939394,0.94671129476584
"Threenorm",5,"RF",0.123636363636364,0.947139026629936
"Threenorm",6,"RF",0.123333333333333,0.946454912764004
"Threenorm",7,"RF",0.123939393939394,0.947402938475666
"Threenorm",8,"RF",0.124242424242424,0.947266666666667
"Threenorm",9,"RF",0.118787878787879,0.947013223140496
"Threenorm",10,"RF",0.126666666666667,0.94661230486685
"Threenorm",11,"RF",0.120606060606061,0.946719191919192
"Threenorm",12,"RF",0.123333333333333,0.947389531680441
"Threenorm",13,"RF",0.124242424242424,0.946644077134986
"Threenorm",14,"RF",0.123636363636364,0.946292011019284
"Threenorm",15,"RF",0.123636363636364,0.946976675849403
"Threenorm",16,"RF",0.125757575757576,0.946682828282828
"Threenorm",17,"RF",0.121818181818182,0.948001101928375
"Threenorm",18,"RF",0.121515151515152,0.94655867768595
"Threenorm",19,"RF",0.121818181818182,0.946947842056933
"Threenorm",20,"RF",0.120909090909091,0.947818916437098
"Threenorm",21,"RF",0.124242424242424,0.948060055096419
"Threenorm",22,"RF",0.123939393939394,0.946687970615243
"Threenorm",23,"RF",0.123333333333333,0.946723232323232
"Threenorm",24,"RF",0.123636363636364,0.946873645546373
"Threenorm",25,"RF",0.124242424242424,0.947608815426997
"Threenorm",26,"RF",0.121818181818182,0.947989898989899
"Threenorm",27,"RF",0.121818181818182,0.947021854912764
"Threenorm",28,"RF",0.123333333333333,0.947234343434343
"Threenorm",29,"RF",0.11969696969697,0.947730211202938
"Threenorm",30,"RF",0.123030303030303,0.948013774104683
"Threenorm",31,"RF",0.123333333333333,0.947459687786961
"Threenorm",32,"RF",0.122121212121212,0.947151331496786
"Threenorm",33,"RF",0.123030303030303,0.947831404958678
"Threenorm",34,"RF",0.125454545454545,0.946825160697888
"Threenorm",35,"RF",0.126666666666667,0.947309825528007
"Threenorm",36,"RF",0.123030303030303,0.946863360881543
"Threenorm",37,"RF",0.11969696969697,0.947100826446281
"Threenorm",38,"RF",0.122727272727273,0.946842240587695
"Threenorm",39,"RF",0.124848484848485,0.946404958677686
"Threenorm",40,"RF",0.125151515151515,0.94735463728191
"Threenorm",41,"RF",0.124848484848485,0.946971349862259
"Threenorm",42,"RF",0.122121212121212,0.946995775941231
"Threenorm",43,"RF",0.125757575757576,0.947200367309458
"Threenorm",44,"RF",0.123333333333333,0.946792102846648
"Threenorm",45,"RF",0.123333333333333,0.94740404040404
"Threenorm",46,"RF",0.123333333333333,0.94626391184573
"Threenorm",47,"RF",0.125757575757576,0.946606427915519
"Threenorm",48,"RF",0.121212121212121,0.946650321395776
"Threenorm",49,"RF",0.122727272727273,0.947275482093664
"Threenorm",50,"RF",0.120909090909091,0.947421303948577
"Threenorm",1,"SSS",0.122424242424242,0.947632139577594
"Threenorm",2,"SSS",0.123636363636364,0.946056932966024
"Threenorm",3,"SSS",0.124545454545455,0.947043158861341
"Threenorm",4,"SSS",0.121212121212121,0.947613774104683
"Threenorm",5,"SSS",0.123636363636364,0.946449954086318
"Threenorm",6,"SSS",0.12,0.947462258953168
"Threenorm",7,"SSS",0.12,0.946703397612489
"Threenorm",8,"SSS",0.125151515151515,0.947416345270891
"Threenorm",9,"SSS",0.121212121212121,0.947536455463728
"Threenorm",10,"SSS",0.121818181818182,0.947009366391185
"Threenorm",11,"SSS",0.12,0.947641505968779
"Threenorm",12,"SSS",0.117272727272727,0.947184022038567
"Threenorm",13,"SSS",0.125454545454545,0.947449219467401
"Threenorm",14,"SSS",0.121515151515152,0.947931313131313
"Threenorm",15,"SSS",0.121212121212121,0.947907438016529
"Threenorm",16,"SSS",0.123636363636364,0.946680991735537
"Threenorm",17,"SSS",0.122424242424242,0.947025711662075
"Threenorm",18,"SSS",0.123333333333333,0.947495316804408
"Threenorm",19,"SSS",0.123030303030303,0.947341414141414
"Threenorm",20,"SSS",0.124242424242424,0.94714435261708
"Threenorm",21,"SSS",0.125757575757576,0.947148760330578
"Threenorm",22,"SSS",0.121212121212121,0.947699173553719
"Threenorm",23,"SSS",0.122121212121212,0.946590266299357
"Threenorm",24,"SSS",0.121515151515152,0.947580532598714
"Threenorm",25,"SSS",0.124545454545455,0.947159963269054
"Threenorm",26,"SSS",0.122727272727273,0.947768411386593
"Threenorm",27,"SSS",0.122727272727273,0.948122314049587
"Threenorm",28,"SSS",0.123030303030303,0.947580165289256
"Threenorm",29,"SSS",0.121212121212121,0.947678236914601
"Threenorm",30,"SSS",0.121818181818182,0.947155555555556
"Threenorm",31,"SSS",0.122727272727273,0.946880808080808
"Threenorm",32,"SSS",0.123030303030303,0.946889256198347
"Threenorm",33,"SSS",0.119393939393939,0.947334251606979
"Threenorm",34,"SSS",0.125151515151515,0.94657943067034
"Threenorm",35,"SSS",0.124242424242424,0.947349127640037
"Threenorm",36,"SSS",0.123333333333333,0.946571349862259
"Threenorm",37,"SSS",0.121212121212121,0.946679338842975
"Threenorm",38,"SSS",0.120606060606061,0.946709458218549
"Threenorm",39,"SSS",0.123636363636364,0.947277869605142
"Threenorm",40,"SSS",0.12030303030303,0.947942516069789
"Threenorm",41,"SSS",0.125151515151515,0.947170064279155
"Threenorm",42,"SSS",0.121515151515152,0.948002203856749
"Threenorm",43,"SSS",0.121818181818182,0.946458953168044
"Threenorm",44,"SSS",0.121212121212121,0.94726593204775
"Threenorm",45,"SSS",0.121212121212121,0.947504315886134
"Threenorm",46,"SSS",0.120606060606061,0.948009733700643
"Threenorm",47,"SSS",0.122121212121212,0.94683709825528
"Threenorm",48,"SSS",0.125757575757576,0.946087235996327
"Threenorm",49,"SSS",0.120909090909091,0.947474931129477
"Threenorm",50,"SSS",0.124242424242424,0.947432323232323
"Threenorm",1,"ER",0.113939393939394,0.950006795224977
"Threenorm",2,"ER",0.122727272727273,0.949823507805326
"Threenorm",3,"ER",0.117272727272727,0.950851423324151
"Threenorm",4,"ER",0.115757575757576,0.950891827364555
"Threenorm",5,"ER",0.116363636363636,0.94982883379247
"Threenorm",6,"ER",0.116363636363636,0.94993608815427
"Threenorm",7,"ER",0.117272727272727,0.949992102846648
"Threenorm",8,"ER",0.120606060606061,0.949632323232323
"Threenorm",9,"ER",0.116969696969697,0.950848668503214
"Threenorm",10,"ER",0.119393939393939,0.949316804407713
"Threenorm",11,"ER",0.118787878787879,0.949937190082645
"Threenorm",12,"ER",0.114242424242424,0.950337557392103
"Threenorm",13,"ER",0.115151515151515,0.949148025711662
"Threenorm",14,"ER",0.118181818181818,0.949791368227732
"Threenorm",15,"ER",0.116666666666667,0.950245913682277
"Threenorm",16,"ER",0.116363636363636,0.949761983471074
"Threenorm",17,"ER",0.116969696969697,0.949740312213039
"Threenorm",18,"ER",0.116060606060606,0.950697887970615
"Threenorm",19,"ER",0.120909090909091,0.950963269054178
"Threenorm",20,"ER",0.117272727272727,0.950557759412305
"Threenorm",21,"ER",0.115454545454545,0.950743250688705
"Threenorm",22,"ER",0.116969696969697,0.950510192837466
"Threenorm",23,"ER",0.121212121212121,0.949273094582185
"Threenorm",24,"ER",0.118484848484848,0.950226078971534
"Threenorm",25,"ER",0.117575757575758,0.950356473829201
"Threenorm",26,"ER",0.115151515151515,0.950418916437098
"Threenorm",27,"ER",0.116060606060606,0.950095684113866
"Threenorm",28,"ER",0.117575757575758,0.950205325987144
"Threenorm",29,"ER",0.116969696969697,0.94964334251607
"Threenorm",30,"ER",0.117272727272727,0.950073094582185
"Threenorm",31,"ER",0.117575757575758,0.95037318640955
"Threenorm",32,"ER",0.11969696969697,0.950126538108356
"Threenorm",33,"ER",0.118787878787879,0.950391551882461
"Threenorm",34,"ER",0.118787878787879,0.949976492194674
"Threenorm",35,"ER",0.116969696969697,0.949760146923783
"Threenorm",36,"ER",0.117878787878788,0.950759963269054
"Threenorm",37,"ER",0.115757575757576,0.950337741046832
"Threenorm",38,"ER",0.116969696969697,0.950558310376492
"Threenorm",39,"ER",0.114545454545455,0.950173737373737
"Threenorm",40,"ER",0.115454545454545,0.949986776859504
"Threenorm",41,"ER",0.116969696969697,0.95013406795225
"Threenorm",42,"ER",0.115454545454545,0.950434527089073
"Threenorm",43,"ER",0.116060606060606,0.949722681359045
"Threenorm",44,"ER",0.115757575757576,0.951069972451791
"Threenorm",45,"ER",0.119090909090909,0.949976859504132
"Threenorm",46,"ER",0.117272727272727,0.950305417814509
"Threenorm",47,"ER",0.117272727272727,0.950672543617998
"Threenorm",48,"ER",0.116363636363636,0.950630670339761
"Threenorm",49,"ER",0.116060606060606,0.949308356290175
"Threenorm",50,"ER",0.115151515151515,0.950281359044995
"Threenorm",1,"AR",0.116060606060606,0.951540863177227
"Threenorm",2,"AR",0.119090909090909,0.951629752066116
"Threenorm",3,"AR",0.112121212121212,0.951902662993572
"Threenorm",4,"AR",0.115757575757576,0.952586225895317
"Threenorm",5,"AR",0.115151515151515,0.951996326905418
"Threenorm",6,"AR",0.116363636363636,0.95184940312213
"Threenorm",7,"AR",0.116666666666667,0.951491643709826
"Threenorm",8,"AR",0.116666666666667,0.952054729109275
"Threenorm",9,"AR",0.116060606060606,0.952174104683196
"Threenorm",10,"AR",0.115757575757576,0.951481726354454
"Threenorm",11,"AR",0.114242424242424,0.952262626262626
"Threenorm",12,"AR",0.116363636363636,0.951781818181818
"Threenorm",13,"AR",0.112424242424242,0.951502295684114
"Threenorm",14,"AR",0.116969696969697,0.951703581267218
"Threenorm",15,"AR",0.115151515151515,0.952848484848485
"Threenorm",16,"AR",0.116060606060606,0.951400550964187
"Threenorm",17,"AR",0.114848484848485,0.952607529843894
"Threenorm",18,"AR",0.115757575757576,0.951451974288338
"Threenorm",19,"AR",0.113030303030303,0.952706336088154
"Threenorm",20,"AR",0.114545454545455,0.951752433425161
"Threenorm",21,"AR",0.111212121212121,0.953042791551882
"Threenorm",22,"AR",0.115151515151515,0.951630486685032
"Threenorm",23,"AR",0.114242424242424,0.953081359044995
"Threenorm",24,"AR",0.114848484848485,0.951910743801653
"Threenorm",25,"AR",0.117878787878788,0.952199816345271
"Threenorm",26,"AR",0.113939393939394,0.952554269972452
"Threenorm",27,"AR",0.114545454545455,0.951527640036731
"Threenorm",28,"AR",0.115151515151515,0.952436730945822
"Threenorm",29,"AR",0.117575757575758,0.951422956841139
"Threenorm",30,"AR",0.113636363636364,0.952583287419651
"Threenorm",31,"AR",0.112424242424242,0.951366023875115
"Threenorm",32,"AR",0.113030303030303,0.951654361799816
"Threenorm",33,"AR",0.117878787878788,0.951816712580349
"Threenorm",34,"AR",0.116363636363636,0.952034527089073
"Threenorm",35,"AR",0.115757575757576,0.951819651056015
"Threenorm",36,"AR",0.118787878787879,0.950971900826446
"Threenorm",37,"AR",0.114242424242424,0.951806427915519
"Threenorm",38,"AR",0.114242424242424,0.952795224977043
"Threenorm",39,"AR",0.114848484848485,0.952608999081726
"Threenorm",40,"AR",0.113939393939394,0.951918089990817
"Threenorm",41,"AR",0.114545454545455,0.951263544536272
"Threenorm",42,"AR",0.11,0.952521212121212
"Threenorm",43,"AR",0.114848484848485,0.951421120293848
"Threenorm",44,"AR",0.116666666666667,0.952561983471074
"Threenorm",45,"AR",0.117272727272727,0.951908539944904
"Threenorm",46,"AR",0.115757575757576,0.951933149678604
"Threenorm",47,"AR",0.110909090909091,0.952306336088154
"Threenorm",48,"AR",0.116060606060606,0.95211349862259
"Threenorm",49,"AR",0.113636363636364,0.951863360881543
"Threenorm",50,"AR",0.114545454545455,0.952296418732782
